dialogue_id,turn number,Speaker,Utterance,Emotion,Emotion Aware Negotiation Strategy,ENS_COT_rationale
0,0,Candidate,Hello. I would like to discuss the issues of my contract. I would like a position of project manager,Positivity,No strategy,"{'Key': ' The candidate feels Positivity.,  The candidateÃ¢Â¬""s emotion is triggered by their anticipation of discussing their desired project manager position.,  The candidate thinks their aspirations align with their skills, hoping the employer acknowledges their qualifications and potential.,  LetÃ¢Â¬""s consider this situation from a different angle; The discussion can clarify expectations and build mutual understanding for a successful outcome.,  LetÃ¢Â¬s reframe this belief; """"I must prove myself"""" to """"This is an opportunity to align my goals with the companyÃ¢Â¬""s vision.,  No strategy was chosen by the employer.,  No reason is provided for choosing no strategy.', 'Value': ' Thank you for sharing your aspirations. We will discuss your expectations for the project manager role to ensure alignment.""'}"
0,1,Employer," Thank you for sharing your aspirations. We will discuss your expectations for the project manager role to ensure alignment.""",,,
0,2,Candidate,I want a position of project manager,Confidence,Problem Solving,"{'Key': ' The candidate feels Confidence.,  The candidateÃ¢Â¬""s emotion is triggered by their determination to pursue their desired role.,  The candidate believes their skills and qualifications justify their request.,  LetÃ¢Â¬""s think of innovative solutions to uncover alternative opportunities for the candidate; The employer can leverage the candidateÃ¢Â¬""s strengths in other areas of the company.,  LetÃ¢Â¬s challenge this belief; """"I must have a specific job title to be successful"""" to """"I can excel in various roles and contribute to the companyÃ¢Â¬""s growth.,  The employer chooses the problem-solving strategy.,  The employer can use problem-solving to collaborate with the candidate, identify possible solutions, and demonstrate their commitment to finding a mutually beneficial outcome.', 'Value': ' I understand your interest in the project manager role, but we do not have any open positions currently. LetÃ¢Â¬s brainstorm alternative opportunities that could align with your skills and qualifications. We value your contributions to the company'}"
0,3,Employer," I understand your interest in the project manager role, but we do not have any open positions currently. LetÃ¢Â¬s brainstorm alternative opportunities that could align with your skills and qualifications. We value your contributions to the company",,,
0,4,Candidate,I disagree about a position of programmer. I would like a position of project manager,Confidence,Expressive suppression,"{'Key': ' The candidate feels Confidence.,  The candidateÃ¢Â¬""s emotion is triggered by their previous expectation of a project manager position and their current disappointment.,  The candidate evaluates their previous assumptions and concludes that their ambition and skills align with the employerÃ¢Â¬""s alternative offer.,  LetÃ¢Â¬""s acknowledge the employerÃ¢Â¬""s offer and consider its potential benefits; The programmers position can lead to career advancement and develop valuable skills.,  LetÃ¢Â¬s reframe this belief; """"I must succeed in a project manager position"""" to """"This opportunity can contribute to my growth and professional development.,  The employer chooses the expressive suppression strategy.,  The employer chooses the expressive suppression strategy to listen carefully to the candidateÃ¢Â¬""s concerns while maintaining a professional tone and avoiding any potential conflicts.', 'Value': ' I appreciate your honesty. LetÃ¢Â¬s discuss the employer\'s offer and how it can align with your career goals. How do you see yourself growing within the company?""""""'}"
0,5,Employer," I appreciate your honesty. LetÃ¢Â¬s discuss the employer's offer and how it can align with your career goals. How do you see yourself growing within the company?""""""",,,
0,6,Candidate,I am willing to have a position of team manager,Joy,Problem Solving,"{'Key': ' The candidate feels Joy.,  The candidateÃ¢Â¬""s emotion is triggered by their potential advancement within the company.,  The candidate thinks that taking a team manager position could be a stepping stone to a project manager role.,  LetÃ¢Â¬""s consider how to leverage this opportunity to position oneself for future advancement.,  LetÃ¢Â¬s reframe this belief; """"I must prove myself"""" to """"I am open to exploring new opportunities.,  The employer chooses the problem-solving strategy.,  The employer chooses this strategy to collaboratively find a solution that meets both partiesÃ¢Â¬"" needs and create a positive outcome for the candidate and the company.', 'Value': ' Great, letÃ¢Â¬s explore how we can work together to find a position that aligns with your aspirations and benefits the company. Can you tell me more about your experience and qualifications as a team manager?""'}"
0,7,Employer," Great, letÃ¢Â¬s explore how we can work together to find a position that aligns with your aspirations and benefits the company. Can you tell me more about your experience and qualifications as a team manager?""",,,
0,8,Candidate,"It's great that you agree I would like a salary of 120,000",Joy,Positive Reinforcement,"{'Key': ' The candidate feels Joy.,  The candidateÃ¢Â¬""s emotion is triggered by the employerÃ¢Â¬""s agreement on the desired position.,  The candidate thinks their negotiation skills have been validated, fostering confidence in future interactions.,  LetÃ¢Â¬""s consider this situation from a different angle; The employerÃ¢Â¬""s openness demonstrates potential for constructive collaboration.,  LetÃ¢Â¬s reframe this belief; """"I must convince the employer"""" to """"I am proactively building a positive relationship.,  The employer chooses the positive reinforcement strategy.,  The employer can use the positive reinforcement strategy to appreciate the candidateÃ¢Â¬s negotiation skills and show appreciation', 'Value': ' ""Thank you for your enthusiasm, and I share your excitement about your negotiation skills. I understand your request for a salary of 120,000, and I will consider it within our budget constraints.""""'}"
0,9,Employer," ""Thank you for your enthusiasm, and I share your excitement about your negotiation skills. I understand your request for a salary of 120,000, and I will consider it within our budget constraints.""""",,,
