dialogue_id,turn number,Speaker,Utterance,Emotion,Emotion Aware Negotiation Strategy,ENS_COT_rationale
0,0,Candidate,Hello. I would like to discuss the issues of my contract. I would like a position of project manager,Positivity,No strategy,"{'EM"": ' The candidate feels Positivity.', 'ET': ' The candidate's emotion is triggered by their anticipation of discussing their desired project manager position.', 'IA': ' The candidate thinks their aspirations align with their skills, hoping the employer acknowledges their qualifications and potential.', 'PS': ' Enable the candidate to consider the situation from a different angle: The discussion can clarify expectations and build mutual understanding for a successful outcome.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must prove myself"""" to """"This is an opportunity to align my goals with the company's vision.', 'SS': 'The employer uses No strategy', 'SR': ' No reason is provided for choosing no strategy.', 'RG': ' Thank you for sharing your aspirations. We will discuss your expectations for the project manager role to ensure alignment.""'}"
0,1,mturk_agent_2," Thank you for sharing your aspirations. We will discuss your expectations for the project manager role to ensure alignment.""",,,nan
0,2,Candidate,I want a position of project manager,Confidence,Problem Solving,"{'EM"": ' The candidate feels Confidence.', 'ET': ' The candidate's emotion is triggered by their determination to pursue their desired role.', 'IA': ' The candidate believes their skills and qualifications justify their request.', 'PS': ' Let's think of innovative solutions to uncover alternative opportunities for the candidate; The employer can leverage the candidate's strengths in other areas of the company.', 'MT': ' Let's challenge this belief; """"I must have a specific job title to be successful"""" to """"I can excel in various roles and contribute to the company's growth.', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer can use problem-solving to collaborate with the candidate, identify possible solutions, and demonstrate their commitment to finding a mutually beneficial outcome.', 'RG': ' I understand your interest in the project manager role, but we do not have any open positions currently. Let's brainstorm alternative opportunities that could align with your skills and qualifications. We value your contributions to the company'}"
0,3,mturk_agent_2," I understand your interest in the project manager role, but we do not have any open positions currently. Let's brainstorm alternative opportunities that could align with your skills and qualifications. We value your contributions to the company",,,nan
0,4,Candidate,I disagree about a position of programmer. I would like a position of project manager,Confidence,Expressive suppression,"{'EM"": ' The candidate feels Confidence.', 'ET': ' The candidate's emotion is triggered by their previous expectation of a project manager position and their current disappointment.', 'IA': ' The candidate evaluates their previous assumptions and concludes that their ambition and skills align with the employer's alternative offer.', 'PS': ' Let's acknowledge the employer's offer and consider its potential benefits; The programmers position can lead to career advancement and develop valuable skills.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must succeed in a project manager position"""" to """"This opportunity can contribute to my growth and professional development.', 'SS': 'The employer uses Expressive suppression', 'SR': ' The employer chooses the expressive suppression strategy to listen carefully to the candidate's concerns while maintaining a professional tone and avoiding any potential conflicts.', 'RG': ' I appreciate your honesty. Let's discuss the employer\'s offer and how it can align with your career goals. How do you see yourself growing within the company?""""""'}"
0,5,mturk_agent_2," I appreciate your honesty. Let's discuss the employer's offer and how it can align with your career goals. How do you see yourself growing within the company?""""""",,,nan
0,6,Candidate,I am willing to have a position of team manager,Joy,Problem Solving,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their potential advancement within the company.', 'IA': ' The candidate thinks that taking a team manager position could be a stepping stone to a project manager role.', 'PS': ' Let's consider how to leverage this opportunity to position oneself for future advancement.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must prove myself"""" to """"I am open to exploring new opportunities.', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer chooses this strategy to collaboratively find a solution that meets both parties' needs and create a positive outcome for the candidate and the company.', 'RG': ' Great, let's explore how we can work together to find a position that aligns with your aspirations and benefits the company. Can you tell me more about your experience and qualifications as a team manager?""'}"
0,7,mturk_agent_2," Great, let's explore how we can work together to find a position that aligns with your aspirations and benefits the company. Can you tell me more about your experience and qualifications as a team manager?""",,,nan
0,8,Candidate,"It's great that you agree I would like a salary of 120,000",Joy,Positive Reinforcement,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by the employer's agreement on the desired position.', 'IA': ' The candidate thinks their negotiation skills have been validated, fostering confidence in future interactions.', 'PS': ' Enable the candidate to consider the situation from a different angle: The employer's openness demonstrates potential for constructive collaboration.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must convince the employer"""" to """"I am proactively building a positive relationship.', 'SS': 'The employer uses Positive Reinforcement', 'SR': ' The employer can use the positive reinforcement strategy to appreciate the candidate's negotiation skills and show appreciation', 'RG': ' ""Thank you for your enthusiasm, and I share your excitement about your negotiation skills. I understand your request for a salary of 120,000, and I will consider it within our budget constraints.""""'}"
0,9,mturk_agent_2," ""Thank you for your enthusiasm, and I share your excitement about your negotiation skills. I understand your request for a salary of 120,000, and I will consider it within our budget constraints.""""",,,nan
0,10,Candidate,I disagree. I am expecting a workday of 8 hours and I want a position of project manager,Disappointment,Problem Solving,"{'EM"": ' The candidate feels Disappointment.', 'ET': ' The candidate's emotion is triggered by their expectation of a manageable workday and a position that aligns with their goals.', 'IA': ' The candidate thinks the employer's response conflicts with their priorities', 'PS': ' diminishing their trust in the company. Perspective-shift""', 'MT': ' Enable the candidate to consider the situation from a different angle: We can collaboratively explore creative solutions to meet both parties' needs. Mindset Transformation', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer chooses the problem-solving strategy. Strategy Reason', 'RG': ' I understand your concerns, let\'s work together to find a solution that meets both of our needs.""'}"
0,11,mturk_agent_2," I understand your concerns, let's work together to find a solution that meets both of our needs.""",,,nan
0,12,Candidate,"I am willing to have a salary of 120,000 I am willing to have a salary of 120,000",Joy,Expressive suppression,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their desired salary of $120', 'IA': '000. Individual Appraisal""', 'PS': ' The candidate thinks they have found a suitable job opportunity that aligns with their financial goals and desires. Perspective-shift', 'MT': ' Enable the candidate to consider the situation from a different angle: Understanding the employer's constraints can lead to a creative solution benefiting both parties. Mindset Transformation', 'SS': 'The employer uses Expressive suppression', 'SR': ' The employer chooses expressive suppression. Strategy Reason', 'RG': ' I understand your expectations, but I fear we cannot meet your salary demands. However, I am willing to consider alternative arrangements that can benefit both parties.""'}"
0,13,mturk_agent_2," I understand your expectations, but I fear we cannot meet your salary demands. However, I am willing to consider alternative arrangements that can benefit both parties.""",,,nan
0,14,Candidate,I reject the previous offer,Disappointment,No strategy,"{'EM"": ' The candidate feels Disappointment.', 'ET': ' The candidate's emotion is triggered by the employer's refusal to consider their desired workday and salary.', 'IA': ' The candidate interprets the employer's decision as a rejection of their career aspirations and worth.', 'PS': ' Enable the candidate to consider the situation from a different angle: The employer may have legitimate business reasons for their decision', 'MT': ' and there may be alternative job opportunities within the company. Mindset Transformation""', 'SS': 'The employer uses No strategy', 'SR': ' but there are other options."""" Emotion Management Strategy""', 'RG': ' The employer does not employ any emotion management strategy as the candidate's reaction is unexpected and not within the scope of the provided context. Final Response'}"
0,15,mturk_agent_2," The employer does not employ any emotion management strategy as the candidate'""s reaction is unexpected and not within the scope of the provided context. Final Response",,,nan
0,16,Candidate,"I am expecting a salary of 120,000",Joy,Expressive suppression,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their expectation of a higher salary.', 'IA': ' The candidate thinks their hard work and dedication deserve fair compensation.', 'PS': ' Enable the candidate to consider the situation from a different angle: Understanding the company's position and priorities may lead to a compromise.', 'MT': ' Enable the candidate to think about reframing the belief: 'SI must negotiate the best possible outcome for my career and personal growth.'\x9d Emotion Management Strategy', 'SS': 'The employer uses Expressive suppression', 'SR': ' The employer can use the expressive suppression strategy to remain professional and maintain a positive image while navigating a sensitive issue, possibly leading to alternative solutions.', 'RG': ' Thank you for sharing your expectations. While we appreciate your qualifications, we have a budget constraint for the role, unfortunately. We would be happy to discuss alternatives that can benefit both parties.""'}"
0,17,mturk_agent_2," Thank you for sharing your expectations. While we appreciate your qualifications, we have a budget constraint for the role, unfortunately. We would be happy to discuss alternatives that can benefit both parties.""",,,nan
0,18,Candidate,I reject. I am expecting a position of project manager,Confidence,No strategy,"{'EM"": ' The candidate feels Confidence.', 'ET': ' The candidate's emotion is triggered by their expectation of a higher position.', 'IA': ' The candidate thinks their skills and experience entitle them to a higher position.', 'PS': ' Enable the candidate to consider the situation from a different angle: The employer may have different priorities or constraints that can be understood through open communication.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must settle for less to secure a job"""" to """"This opportunity can lead to future growth and development.', 'SS': 'The employer uses No strategy', 'SR': ' The employer did not use any emotion management strategy, as the candidate's rejection was direct and without elaboration. Final Response""', 'RG': ' I understand your decision. Thank you for sharing your expectations. Let's discuss potential alternative positions that align with your skills and experience.""""""'}"
0,19,mturk_agent_2," I understand your decision. Thank you for sharing your expectations. Let's discuss potential alternative positions that align with your skills and experience.""""""",,,nan
0,20,Candidate,"I am expecting a salary of 120,000 I want a salary of 120,000",Joy,Expressive suppression,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their anticipation of receiving a desired salary.', 'IA': ' The candidate thinks their financial security will improve, enabling them to focus on their career goals.', 'PS': ' Let's consider the short-term impact of accepting a lower salary; it may compromise their long-term career aspirations.', 'MT': ' Enable the candidate to think about reframing the belief: 'SI must take this opportunity to advance my career'\x9d instead of 'SI need to make a lot of money now.'\x9d Emotion Management Strategy', 'SS': 'The employer uses Expressive suppression', 'SR': ' The employer can use the expressive suppression strategy to downplay the candidate's expectations without fully refuting them', 'RG': ' Thank you for sharing your expectations with us. We understand that salary is an important factor in any job offer. However, we currently don't have any project manager vacancies available. Please let us know if you're willing to consider other roles within our company.""""""'}"
0,21,mturk_agent_2," Thank you for sharing your expectations with us. We understand that salary is an important factor in any job offer. However, we currently don't have any project manager vacancies available. Please let us know if you'""re willing to consider other roles within our company.""""""",,,nan
0,22,Candidate,"I am expecting a salary of 90,000",Joy,Problem Solving,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their desire to achieve their desired salary.', 'IA': ' The candidate thinks they can find a solution to bridge the gap between their expected salary and the employer's offer.', 'PS': ' Enable the candidate to consider the situation from a different angle: Finding a mutually beneficial solution can lead to a more harmonious and productive work environment.', 'MT': ' Enable the candidate to think about reframing the belief: """"Salary is the only factor that matters"""" to """"The right compensation package can improve job satisfaction and increase motivation.', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer can use the problem-solving strategy to engage the candidate in brainstorming and exploring potential solutions to reach a mutually beneficial agreement.', 'RG': ' Thank you for sharing your expectations. Let's explore some potential solutions together to find a fair compensation package that works for both parties.""""""'}"
0,23,mturk_agent_2," Thank you for sharing your expectations. Let's explore some potential solutions together to find a fair compensation package that works for both parties.""""""",,,nan
0,24,Candidate,I agree. Now let's talk about how we can agree on other issues. I want a company car,Positivity,Active Listening,"{'EM"": ' The candidate feels Positivity.', 'ET': ' The candidate's emotion is triggered by their hope for a mutually beneficial discussion.', 'IA': ' The candidate thinks their desire for a company car aligns with their potential value to the employer.', 'PS': ' Enable the candidate to consider the situation from a different angle: By prioritizing open communication', 'MT': ' we can build trust and foster a collaborative environment. Mindset Transformation""', 'SS': 'The employer uses Active Listening', 'SR': ' The employer chooses the active listening strategy. Strategy Reason', 'RG': ' Thank you for sharing your expectations. I understand your desire for a company car. Let's discuss what we can do to ensure a mutually beneficial agreement.""""""'}"
0,25,mturk_agent_2," Thank you for sharing your expectations. I understand your desire for a company car. Let's discuss what we can do to ensure a mutually beneficial agreement.""""""",,,nan
0,26,Candidate,I reject a workday of 10 hours. I am expecting a workday of 8 hours,Joy,Problem Solving,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their anticipation of achieving their desired workday duration.', 'IA': ' The candidate thinks the employer understands their preferences and is willing to work towards a mutually beneficial agreement.', 'PS': ' Enable the candidate to consider the situation from a different angle: we can find a compromise that satisfies both parties' needs.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must settle for less than I want"""" to """"This is an opportunity to find a solution that benefits both parties.', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer can use the problem-solving strategy to generate a solution that addresses the candidate's needs while maintaining a positive relationship.', 'RG': "" Thank you for sharing your expectations. Let's work together to find a solution that satisfies both parties' needs""}"
0,27,mturk_agent_2, Thank you for sharing your expectations. Let's work together to find a solution that satisfies both parties' needs,,,nan
0,28,Candidate,I reject a workday of 9 hours. I am expecting a workday of 8 hours,Joy,Problem Solving,"{'EM"": ' The candidate feels Joy.', 'ET': ' The candidate's emotion is triggered by their confidence in their expectations for a workday of 8 hours.', 'IA': "" The candidate thinks they can find a compromise that meets their needs and the employer's requirements."", 'PS': "" Enable the candidate to consider the situation from a different angle: Finding a mutually beneficial solution can enhance the working relationship and demonstrate collaboration."", 'MT': ' Let\'s reframe this belief; ""I must get my way"" to ""I can work with the employer to achieve a desirable outcome."" Emotion Management Strategy', 'SS': 'The employer uses Problem Solving', 'SR': ' The employer can use the problem-solving strategy to work collaboratively with the candidate to address their concerns while identifying potential solutions that benefit both parties.', 'RG': ' I understand your concerns about work hours. How about we discuss possible compromises that can work for both of us?'}"
0,29,mturk_agent_2, I understand your concerns about work hours. How about we discuss possible compromises that can work for both of us?,,,nan
0,30,Candidate,I disagree. I would like a workday of 9 hours and I want a position of project manager,Disappointment,Expressive suppression,"{'EM"": ' The candidate feels Disappointment.', 'ET': ' The candidate's emotion is triggered by the employer's response on the workday duration.', 'IA': ' The candidate interprets the employer's decision as dismissive of their concerns and doubts their interest in their career development.', 'PS': ' Enable the candidate to consider the situation from a different angle: The employer may have valid reasons for their decision that are unrelated to the candidate's qualifications.', 'MT': ' Enable the candidate to think about reframing the belief: """"I must prove myself"""" to """"I will show my value in this role and earn recognition.', 'SS': 'The employer uses Expressive suppression', 'SR': ' The employer chooses this strategy to manage their emotions and avoid giving any ground, even though they may not fully disagree with the candidate's demands. Final Response""', 'RG': ' Thank you for sharing your concerns. However, we have determined that an 8-hour workday is feasible for our current project.'}"
0,31,mturk_agent_2," Thank you for sharing your concerns. However, we have determined that an 8-hour workday is feasible for our current project.",,,nan
